City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Constantine,DZ,36.365,6.6147,54.81,76,75,8.05,broken clouds
312,Kavaratti,IN,10.5669,72.642,83.19,73,42,5.48,scattered clouds
313,Gazanjyk,TM,39.2446,55.5154,58.53,60,59,4.0,broken clouds
314,Dhaka,BD,23.7104,90.4074,84.18,65,40,11.5,haze
315,Codrington,AU,-38.2667,141.9667,63.48,59,84,11.39,broken clouds
316,Colares,PT,38.7992,-9.4469,53.29,63,96,8.99,overcast clouds
317,Amapa,BR,1.0,-52.0,71.64,100,100,2.55,overcast clouds
318,Medea,DZ,36.2642,2.7539,42.06,88,28,5.1,scattered clouds
319,Azul,AR,-36.777,-59.8585,64.35,44,63,7.65,broken clouds
320,Katsuura,JP,35.1333,140.3,62.58,62,100,14.58,overcast clouds
321,Havelock,US,34.8791,-76.9013,66.96,92,100,3.0,heavy intensity rain
322,Maues,BR,-3.3836,-57.7186,72.88,97,90,2.93,light rain
323,Apiai,BR,-24.5094,-48.8425,66.09,82,97,3.0,overcast clouds
324,Bjornevatn,NO,69.6672,29.9847,29.82,64,100,18.41,overcast clouds
325,Gazojak,TM,41.1875,61.4036,60.28,54,100,13.67,overcast clouds
326,Debno,PL,52.739,14.698,47.14,97,100,2.19,overcast clouds
327,Ariano Irpino,IT,41.1489,15.0833,45.34,82,32,2.8,scattered clouds
328,Aginskoye,RU,51.1,114.53,28.08,28,100,4.85,overcast clouds
329,Vanimo,PG,-2.6741,141.3028,86.47,66,100,5.97,light rain
330,Muisne,EC,0.6,-80.0333,77.67,87,94,5.26,overcast clouds
331,Puerto Ayacucho,VE,5.6639,-67.6236,74.57,92,100,3.09,overcast clouds
332,Dolores,AR,-36.3132,-57.6792,56.55,40,60,8.5,broken clouds
333,Hofn,IS,64.2539,-15.2082,31.15,62,23,20.6,few clouds
334,Lazaro Cardenas,MX,17.9583,-102.2,72.43,78,4,6.08,clear sky
335,Cherskiy,RU,68.75,161.3,0.01,87,89,5.28,overcast clouds
336,Gawler,AU,-34.6,138.7333,73.47,55,78,0.54,broken clouds
337,Imuris,MX,30.7833,-110.8667,73.67,24,0,9.75,clear sky
338,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,91,100,7.54,overcast clouds
339,Tuy Hoa,VN,13.0833,109.3,75.87,84,100,14.43,overcast clouds
340,Muzhi,RU,65.3667,64.6667,16.72,77,100,29.15,overcast clouds
341,Broome,US,42.2506,-75.833,52.57,58,0,11.5,clear sky
342,Kruisfontein,ZA,-34.0033,24.7314,60.89,77,93,11.1,overcast clouds
343,Alice Springs,AU,-23.7,133.8833,81.95,13,8,6.91,clear sky
